Helsinki-NLP/opus-mt-zh-en,512,None,3141840
t5-base,300,None,1736544
Helsinki-NLP/opus-mt-en-de,512,None,749228
Helsinki-NLP/opus-mt-en-ROMANCE,512,None,599267
t5-small,300,None,592793
Helsinki-NLP/opus-mt-ar-en,512,None,196033
Helsinki-NLP/opus-mt-de-en,512,None,129923
Helsinki-NLP/opus-mt-es-en,512,None,111028
Helsinki-NLP/opus-mt-ROMANCE-en,512,None,92987
Helsinki-NLP/opus-mt-fr-en,512,None,91552
t5-large,300,None,86685
facebook/mbart-large-en-ro,1024,None,60718
Helsinki-NLP/opus-mt-ru-en,512,None,57630
facebook/mbart-large-cc25,1024,None,54778
t5-3b,300,None,38587
Helsinki-NLP/opus-mt-fi-en,512,None,33903
Helsinki-NLP/opus-mt-en-es,512,None,30917
Helsinki-NLP/opus-mt-sv-en,512,None,26774
Helsinki-NLP/opus-mt-it-en,512,None,26474
Helsinki-NLP/opus-mt-pl-en,512,None,25967
Helsinki-NLP/opus-mt-en-fr,512,None,22544
Helsinki-NLP/opus-mt-et-en,512,None,22277
Helsinki-NLP/opus-mt-nl-en,512,None,21958
Helsinki-NLP/opus-mt-en-ru,512,None,20645
Helsinki-NLP/opus-mt-da-en,512,None,19653
Helsinki-NLP/opus-mt-en-zh,512,None,14717
Helsinki-NLP/opus-mt-bat-en,512,None,13792
Helsinki-NLP/opus-mt-id-en,512,None,13097
Helsinki-NLP/opus-mt-uk-ru,512,None,12765
Helsinki-NLP/opus-mt-en-ro,512,None,10262
Helsinki-NLP/opus-mt-lv-en,512,None,9591
Helsinki-NLP/opus-mt-en-cs,512,None,9506
Helsinki-NLP/opus-mt-ja-en,512,None,8030
Helsinki-NLP/opus-mt-bg-it,512,None,7190
Helsinki-NLP/opus-mt-en-it,512,None,6064
Helsinki-NLP/opus-mt-en-nl,512,None,5678
t5-11b,300,None,5169
Helsinki-NLP/opus-mt-tr-en,512,None,4689
Helsinki-NLP/opus-mt-no-da,512,None,4162
Helsinki-NLP/opus-mt-cs-en,512,None,4143
Helsinki-NLP/opus-mt-mul-en,512,None,4070
Helsinki-NLP/opus-mt-vi-en,512,None,3478
Helsinki-NLP/opus-mt-hi-en,512,None,3435
Helsinki-NLP/opus-mt-th-en,512,None,3190
Helsinki-NLP/opus-mt-en-fi,512,None,2937
